seed,source,k,operator,class,support,recall,d_recall,prediction_flip_rate,mean_l1_to_k1
0,M1,100,late_product,11,27,0.07407407407407407,-0.14814814814814814,0.33333333333333331,0.78950446844100952
0,M2,1,late_product,0,496,0.97580645161290325,0,0,0
0,M2,1,late_product,1,471,0.97664543524416136,0,0,0
0,M2,1,late_product,2,420,0.94523809523809521,0,0,0
0,M2,1,late_product,3,508,0.85236220472440949,0,0,0
0,M2,1,late_product,4,556,0.94424460431654678,0,0,0
0,M2,1,late_product,5,545,0.97431192660550459,0,0,0
0,M2,1,late_product,6,23,0.78260869565217395,0,0,0
0,M2,1,late_product,7,10,0.59999999999999998,0,0,0
0,M2,1,late_product,8,32,0.71875,0,0,0
0,M2,1,late_product,9,25,0.80000000000000004,0,0,0
0,M2,1,late_product,10,49,0.65306122448979587,0,0,0
0,M2,1,late_product,11,27,0.22222222222222221,0,0,0
0,M2,5,late_product,0,496,0.90120967741935487,-0.074596774193548376,0.08669354838709678,0.18492384254932404
0,M2,5,late_product,1,471,0.92569002123142252,-0.050955414012738842,0.070063694267515922,0.13877545297145844
0,M2,5,late_product,2,420,0.90952380952380951,-0.035714285714285698,0.064285714285714279,0.13294512033462524
0,M2,5,late_product,3,508,0.83661417322834641,-0.015748031496063075,0.13582677165354332,0.31354781985282898
0,M2,5,late_product,4,556,0.91546762589928055,-0.02877697841726623,0.043165467625899283,0.11067082732915878
0,M2,5,late_product,5,545,0.93211009174311932,-0.042201834862385268,0.078899082568807344,0.15340714156627655
0,M2,5,late_product,6,23,0.65217391304347827,-0.13043478260869568,0.17391304347826086,0.39209058880805969
0,M2,5,late_product,7,10,0.59999999999999998,0,0,0.16780808568000793
0,M2,5,late_product,8,32,0.59375,-0.125,0.21875,0.47272706031799316
0,M2,5,late_product,9,25,0.59999999999999998,-0.20000000000000007,0.28000000000000003,0.57296013832092285
0,M2,5,late_product,10,49,0.65306122448979587,0,0.20408163265306123,0.38959568738937378
0,M2,5,late_product,11,27,0.40740740740740738,0.18518518518518517,0.25925925925925924,0.51390719413757324
0,M2,100,late_product,0,496,0.81854838709677424,-0.157258064516129,0.17540322580645162,0.3594430685043335
0,M2,100,late_product,1,471,0.87685774946921446,-0.099787685774946899,0.12314225053078556,0.25166499614715576
