split,dataset,seed,source,operator,k,ordering,n,max_linf,mean_abs,pred_changes
grid,MHEALTH,0,M2,late_product,100,shuffle_A,1987,1.570582389831543e-05,1.99542103659501e-09,0
grid,MHEALTH,0,M2,late_product,100,shuffle_B,1987,1.722574234008789e-05,2.396871352461179e-09,0
grid,MHEALTH,0,M2,late_mean,100,reverse,1987,1.7881393432617188e-07,3.5601245255211624e-09,0
grid,MHEALTH,0,M2,late_mean,100,shuffle_A,1987,1.7881393432617188e-07,2.3260664789713956e-09,0
grid,MHEALTH,0,M2,late_mean,100,shuffle_B,1987,1.1920928955078125e-07,2.277809937972919e-09,0
grid,MHEALTH,0,M2,cpsa,100,reverse,1987,8.344650268554688e-07,2.585377120883749e-09,0
grid,MHEALTH,0,M2,cpsa,100,shuffle_A,1987,9.5367431640625e-07,2.383774783165786e-09,0
grid,MHEALTH,0,M2,cpsa,100,shuffle_B,1987,8.940696716308594e-07,3.250188389676657e-09,0
grid,MHEALTH,0,M3,late_product,1,reverse,1987,6.556510925292969e-07,1.1066953338722897e-09,0
grid,MHEALTH,0,M3,late_product,1,shuffle_B,1987,6.556510925292969e-07,1.1066953338722897e-09,0
grid,MHEALTH,0,M3,late_mean,1,reverse,1987,1.1920928955078125e-07,2.049471825279337e-09,0
grid,MHEALTH,0,M3,late_mean,1,shuffle_B,1987,1.1920928955078125e-07,2.049471825279337e-09,0
grid,MHEALTH,0,M3,cpsa,1,reverse,1987,1.7881393432617188e-07,3.050909871037692e-09,0
grid,MHEALTH,0,M3,cpsa,1,shuffle_B,1987,1.7881393432617188e-07,3.050909871037692e-09,0
grid,MHEALTH,0,M3,late_product,2,reverse,1987,8.940696716308594e-07,2.362309422894928e-09,0
grid,MHEALTH,0,M3,late_product,2,shuffle_A,1987,5.364418029785156e-07,1.8620232635246912e-09,0
grid,MHEALTH,0,M3,late_product,2,shuffle_B,1987,8.940696716308594e-07,1.9681336124582675e-09,0
grid,MHEALTH,0,M3,late_mean,2,reverse,1987,1.1920928955078125e-07,2.0765135191309176e-09,0
grid,MHEALTH,0,M3,late_mean,2,shuffle_A,1987,1.1920928955078125e-07,1.7971108331820525e-09,0
grid,MHEALTH,0,M3,late_mean,2,shuffle_B,1987,1.1920928955078125e-07,1.8859687391079287e-09,0
grid,MHEALTH,0,M3,cpsa,2,reverse,1987,1.7881393432617188e-07,3.745869962019133e-09,0
grid,MHEALTH,0,M3,cpsa,2,shuffle_A,1987,2.384185791015625e-07,3.6153678784547457e-09,0
grid,MHEALTH,0,M3,cpsa,2,shuffle_B,1987,1.7881393432617188e-07,3.497029586947962e-09,0
grid,MHEALTH,0,M3,late_product,3,reverse,1987,1.4007091522216797e-06,1.9335878512613407e-09,0
grid,MHEALTH,0,M3,late_product,3,shuffle_A,1987,1.0132789611816406e-06,1.4336147072586063e-09,0
grid,MHEALTH,0,M3,late_product,3,shuffle_B,1987,9.5367431640625e-07,1.4514057138332509e-09,0
grid,MHEALTH,0,M3,late_mean,3,reverse,1987,1.1920928955078125e-07,3.184495496239711e-09,0
grid,MHEALTH,0,M3,late_mean,3,shuffle_A,1987,5.960464477539063e-08,1.7707173005929247e-09,0
grid,MHEALTH,0,M3,late_mean,3,shuffle_B,1987,1.1920928955078125e-07,2.0468975447779555e-09,0
grid,MHEALTH,0,M3,cpsa,3,reverse,1987,2.384185791015625e-07,4.2052434207583755e-09,0
grid,MHEALTH,0,M3,cpsa,3,shuffle_A,1987,2.384185791015625e-07,3.7205941565605733e-09,0
grid,MHEALTH,0,M3,cpsa,3,shuffle_B,1987,2.384185791015625e-07,3.645610689016823e-09,0
grid,MHEALTH,0,M3,late_product,5,reverse,1987,3.814697265625e-06,5.796044239704145e-09,0
grid,MHEALTH,0,M3,late_product,5,shuffle_A,1987,1.8775463104248047e-06,3.3944184030729055e-09,0
grid,MHEALTH,0,M3,late_product,5,shuffle_B,1987,3.814697265625e-06,5.069764037683182e-09,0
grid,MHEALTH,0,M3,late_mean,5,reverse,1987,1.1920928955078125e-07,3.68026515750039e-09,0
grid,MHEALTH,0,M3,late_mean,5,shuffle_A,1987,1.1920928955078125e-07,2.5486723269580283e-09,0
