seed,object,class,support,recall,precision,f1
1,M2,2,420,0.85476190476190472,0.7510460251046025,0.79955456570155903
1,M2,3,508,0.81889763779527558,0.62368815592203897,0.70808510638297872
1,M2,4,556,0.73381294964028776,0.81599999999999995,0.7727272727272726
1,M2,5,545,0.60733944954128438,0.74886877828054299,0.6707193515704154
1,M2,6,23,0.43478260869565216,0.52631578947368418,0.47619047619047616
1,M2,7,10,0.59999999999999998,0.75,0.66666666666666652
1,M2,8,32,0.5,0.43243243243243246,0.46376811594202899
1,M2,9,25,0.71999999999999997,0.58064516129032262,0.64285714285714279
1,M2,10,49,0.61224489795918369,0.63829787234042556,0.625
1,M2,11,27,0.25925925925925924,0.46666666666666667,0.33333333333333337
1,late_product,0,496,0.98185483870967738,0.98185483870967738,0.98185483870967738
1,late_product,1,471,0.98301486199575372,0.93535353535353538,0.95859213250517605
1,late_product,2,420,0.95238095238095233,0.98522167487684731,0.96852300242130762
1,late_product,3,508,0.89370078740157477,0.90438247011952189,0.89900990099009903
1,late_product,4,556,0.92446043165467628,0.88927335640138405,0.90652557319223981
1,late_product,5,545,0.96880733944954134,0.99810964083175802,0.98324022346368722
1,late_product,6,23,0.78260869565217395,0.81818181818181823,0.80000000000000004
1,late_product,7,10,0.90000000000000002,0.90000000000000002,0.90000000000000002
1,late_product,8,32,0.65625,0.61764705882352944,0.63636363636363635
1,late_product,9,25,0.56000000000000005,0.56000000000000005,0.56000000000000005
1,late_product,10,49,0.61224489795918369,0.69767441860465118,0.65217391304347827
1,late_product,11,27,0.40740740740740738,0.5,0.44897959183673464
1,late_mean,0,496,0.9838709677419355,0.93846153846153846,0.96062992125984259
1,late_mean,1,471,0.9426751592356688,0.9308176100628931,0.93670886075949367
1,late_mean,2,420,0.95476190476190481,0.98044009779951102,0.96743063932448736
1,late_mean,3,508,0.86220472440944884,0.89387755102040811,0.87775551102204408
1,late_mean,4,556,0.91366906474820142,0.86247877758913416,0.88733624454148474
1,late_mean,5,545,0.95779816513761473,0.99051233396584437,0.97388059701492535
1,late_mean,6,23,0.78260869565217395,0.78260869565217395,0.78260869565217395
1,late_mean,7,10,0.90000000000000002,0.81818181818181823,0.85714285714285721
1,late_mean,8,32,0.53125,0.56666666666666665,0.54838709677419351
