dataset,seed,source,operator,k,reproduced_mean_l1,frozen_mean_l1,abs_discrepancy
MHEALTH,2,M3,late_mean,5,0.3066955682825606,0.3066955804824829,1.219992229462008e-08
MHEALTH,2,M3,cpsa,5,0.42213876434783165,0.4221387803554535,1.6007621839175812e-08
MHEALTH,2,M3,late_product,16,0.30963725852885204,0.30963724851608276,1.0012769280365319e-08
MHEALTH,2,M3,late_mean,16,0.44726437260836877,0.4472644031047821,3.0496413339076156e-08
MHEALTH,2,M3,cpsa,16,0.490735517715606,0.4907355308532715,1.3137665511031571e-08
MHEALTH,2,M3,late_product,100,0.3872268844752012,0.3872268795967102,4.878491000059881e-09
MHEALTH,2,M3,late_mean,100,0.520931474746379,0.5209314823150635,7.568684456948915e-09
MHEALTH,2,M3,cpsa,100,0.5050123753437075,0.5050123929977417,1.7654034234482197e-08
HAPT,0,M1,late_product,2,0.06961147816583342,0.06961148232221603,4.156382613085263e-09
HAPT,0,M1,late_mean,2,0.10731208684248915,0.10731208324432373,3.5981654183947498e-09
HAPT,0,M1,cpsa,2,0.08379672965505505,0.08379672467708588,4.977969175756769e-09
HAPT,0,M1,late_product,5,0.13785136241869728,0.13785137236118317,9.942485890146457e-09
HAPT,0,M1,late_mean,5,0.21462417295095138,0.21462416648864746,6.4623039142119865e-09
HAPT,0,M1,cpsa,5,0.15961805410119517,0.1596180498600006,4.241194562215611e-09
HAPT,0,M1,late_product,16,0.1749062880638898,0.17490629851818085,1.0454291043959785e-08
HAPT,0,M1,late_mean,16,0.2840614016161919,0.28406140208244324,4.662513153341763e-10
HAPT,0,M1,cpsa,16,0.20728142304711952,0.20728141069412231,1.2352997208475713e-08
HAPT,0,M1,late_product,100,0.18803132885872484,0.18803133070468903,1.8459641870638421e-09
HAPT,0,M1,late_mean,100,0.31556128359034824,0.31556129455566406,1.0965315822009103e-08
HAPT,0,M1,cpsa,100,0.22920861349914504,0.2292085886001587,2.4898986344945584e-08
HAPT,0,M2,late_product,2,0.06686986622889649,0.06686986982822418,3.599327697001442e-09
HAPT,0,M2,late_mean,2,0.1073120863016288,0.10731208324432373,3.0573050757709552e-09
HAPT,0,M2,cpsa,2,0.09871095545963464,0.09871096163988113,6.180246495124386e-09
HAPT,0,M2,late_product,5,0.186735513715414,0.18673551082611084,2.8893031578380857e-09
HAPT,0,M2,late_mean,5,0.21462416979560636,0.21462416648864746,3.3069589011613942e-09
