seed,source,k,operator,subject,n,accuracy,nll,brier,confidence,prediction_flip_rate,mean_l1_to_k1
0,M1,32,late_product,9,671,0.97168405365126675,0.50197780132293701,0.055718027055263519,0.99720150232315063,0.026825633383010434,0.062066745012998581
0,M1,32,late_product,10,662,0.84592145015105735,4.060575008392334,0.30691432952880859,0.99864894151687622,0.13141993957703926,0.25684276223182678
0,M1,64,late_product,8,654,0.51376146788990829,13.060651779174805,0.96980768442153931,0.99822127819061279,0.20642201834862386,0.43140619993209839
0,M1,64,late_product,9,671,0.95976154992548435,0.87709426879882812,0.079939708113670349,0.99613958597183228,0.038748137108792845,0.087791025638580322
0,M1,64,late_product,10,662,0.83836858006042292,4.3064603805541992,0.32294636964797974,0.99941742420196533,0.13897280966767372,0.27197912335395813
0,M1,100,late_product,8,654,0.5107033639143731,13.206337928771973,0.97797751426696777,0.99901866912841797,0.21100917431192662,0.44033324718475342
0,M1,100,late_product,9,671,0.94932935916542471,1.0407129526138306,0.098977275192737579,0.99614179134368896,0.049180327868852458,0.10680530220270157
0,M1,100,late_product,10,662,0.83383685800604235,4.4289398193359375,0.33060982823371887,0.99918919801712036,0.14350453172205438,0.2800498902797699
0,M2,1,late_product,8,654,0.65443425076452599,3.2893681526184082,0.62416386604309082,0.95034456253051758,0,0
0,M2,1,late_product,9,671,0.99552906110283157,0.011636955663561821,0.0072022848762571812,0.99554252624511719,0,0
0,M2,1,late_product,10,662,0.97432024169184295,0.088893495500087738,0.044376399368047714,0.98867207765579224,0,0
0,M2,2,late_product,8,654,0.63149847094801226,5.02899169921875,0.70286816358566284,0.97326838970184326,0.099388379204892963,0.19862204790115356
0,M2,2,late_product,9,671,0.87183308494783907,0.82038217782974243,0.21113972365856171,0.95987504720687866,0.13263785394932937,0.25822615623474121
0,M2,2,late_product,10,662,0.99546827794561932,0.012336910702288151,0.0071427812799811363,0.99786746501922607,0.021148036253776436,0.051331199705600739
0,M2,3,late_product,8,654,0.55351681957186549,7.7814955711364746,0.88158869743347168,0.99169743061065674,0.20183486238532111,0.40085306763648987
0,M2,3,late_product,9,671,0.82712369597615498,2.6597051620483398,0.33886149525642395,0.99795371294021606,0.17734724292101342,0.34996670484542847
0,M2,3,late_product,10,662,0.99848942598187307,0.010560787282884121,0.0040377783589065075,0.99707859754562378,0.024169184290030211,0.06025555357336998
0,M2,5,late_product,8,654,0.49235474006116209,12.062859535217285,1.0102416276931763,0.99679124355316162,0.27370030581039756,0.54870295524597168
0,M2,5,late_product,9,671,0.82712369597615498,3.3883612155914307,0.34575030207633972,0.99999183416366577,0.17734724292101342,0.35404291749000549
0,M2,5,late_product,10,662,0.9154078549848943,0.71127128601074219,0.16552455723285675,0.99893641471862793,0.10725075528700906,0.2211514413356781
0,M2,8,late_product,8,654,0.49388379204892968,13.537227630615234,0.98427045345306396,0.97762221097946167,0.31039755351681958,0.62884354591369629
0,M2,8,late_product,9,671,0.82712369597615498,4.4762744903564453,0.34575259685516357,0.99999988079071045,0.17734724292101342,0.35405915975570679
0,M2,8,late_product,10,662,0.9154078549848943,2.2540907859802246,0.16848520934581757,0.99978166818618774,0.10725075528700906,0.22295898199081421
